Color,Timeratio,TimeInt,MoveNumber,eva,Termination,Piece
1,1.643192488,7,21,8.76,0,King
0,15.72052402,36,29,-3.01,0,Queen
1,1.649484536,8,30,-6.01,0,Queen
1,1.606425703,4,47,10.96,0,King
0,0.456621005,2,29,58.41,0,King
1,2.657807309,8,35,-0.83,0,King
0,2.946954813,15,17,9.25,0,Knight
0,10.40462428,36,25,7,1,Queen
1,2.857142857,11,22,-9.56,0,Knight
0,3.484320557,10,20,-1.4,1,Rook
1,0.578034682,3,22,9.31,0,King
0,4.081632653,2,30,-14.23,0,King
1,3.424657534,5,37,-8.76,0,King
1,0.674157303,3,22,8.12,0,Rook
0,8.19047619,43,6,-3.32,1,Bishop
0,0.400801603,2,51,0,0,King
0,35.18518519,19,29,0.42,1,Pawn
0,2.493074792,9,38,7.58,0,King
1,0.849858357,3,31,0,0,Queen
1,3.345724907,9,29,-8.54,0,Knight
0,2.083333333,2,55,0,1,Pawn
1,3.092783505,12,17,-17.51,0,Queen
1,1.44092219,5,40,-15.15,0,Knight
0,20.26431718,46,24,5.99,0,Pawn
1,1.058201058,4,32,-8.66,0,Rook
1,4.166666667,1,57,0,0,King
1,5.284552846,13,31,-9.82,0,Rook
0,24.09638554,20,42,11.24,0,Pawn
0,1.425178147,6,32,4.71,0,Knight
1,0.389863548,2,18,9.02,0,Rook
0,0.240384615,1,26,10.44,0,Rook
0,1.369863014,5,25,7.46,0,Knight
1,0.280112045,1,24,-8.99,0,Rook
0,0.613496933,3,20,8.51,0,Knight
1,3.319502075,8,32,-20.83,0,Bishop
1,0.4784689,2,24,-7.18,0,Rook
1,0.616016427,3,27,-9.87,0,Rook
1,0.470588235,2,26,-12.24,0,Queen
0,0.610997963,3,24,9.5,0,Queen
0,2.857142857,3,32,14.6,0,Rook
0,3.591160221,13,28,6.24,0,Pawn
1,0.409836066,2,11,-15.15,0,Knight
1,0.662251656,3,28,-11.69,0,Knight
1,15.625,30,29,11.02,1,Rook
1,0.854700855,1,45,-77.32,0,Queen
1,1.017811705,4,26,-13.48,0,Rook
0,0.571428571,2,20,16.15,0,Queen
1,9.05511811,23,34,-10.08,1,Queen
1,0.641025641,1,46,-7.19,1,King
1,8.494208494,22,28,-2.54,1,Knight
0,2.692307692,7,29,12.64,0,Bishop
0,9.803921569,25,40,-3.45,1,Bishop
0,1.684210526,8,19,0.16,0,Bishop
1,1.996007984,10,16,8.07,0,Queen
1,0.208333333,1,34,-8.45,0,Rook
0,0.54200542,2,19,13.3,0,Queen
1,6.0546875,31,12,-7.53,0,Bishop
0,0.193423598,1,23,-18.5,0,King
0,0.250626566,1,24,-7.76,0,Pawn
0,0.340136054,1,39,61.28,0,Bishop
0,63.63636364,21,37,-8.38,1,King
0,0.804828974,4,14,13.51,0,Bishop
